                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    144,                0.50467,                0.37356,                0.84314,                0.89417,                0.88801,                0.92556,                0.83167,                0.50528,                0.43691,                0.83528,               0.005314,               0.005314,               0.005314
                    145,                0.50362,                0.37106,                0.84163,                0.89666,                0.88835,                0.93155,                0.83447,                0.50841,                0.43748,                0.83666,               0.005281,               0.005281,               0.005281
                    146,                 0.5014,                0.36904,                0.84299,                0.88221,                0.89787,                0.93004,                0.83336,                0.50438,                0.43441,                0.83506,               0.005248,               0.005248,               0.005248
                    147,                 0.4985,                0.36928,                0.84265,                0.89838,                0.88046,                 0.9271,                 0.8313,                0.50483,                 0.4295,                0.83508,               0.005215,               0.005215,               0.005215
                    148,                 0.5024,                 0.3679,                0.84049,                0.89694,                 0.8755,                0.92645,                0.83182,                0.50003,                0.43013,                0.83287,               0.005182,               0.005182,               0.005182
                    149,                0.49941,                0.36672,                 0.8404,                0.90507,                0.87111,                0.92875,                0.83399,                0.50492,                0.42991,                0.83452,               0.005149,               0.005149,               0.005149
                    150,                0.50044,                0.36953,                0.84271,                0.89158,                0.89273,                0.92935,                0.83362,                0.50257,                0.43355,                 0.8342,               0.005116,               0.005116,               0.005116
                    151,                0.49323,                0.36545,                0.84053,                0.89542,                0.88408,                0.92487,                0.82922,                0.50306,                0.43161,                0.83296,               0.005083,               0.005083,               0.005083
                    152,                0.50013,                0.36796,                0.84169,                0.88583,                0.88343,                0.92774,                0.83262,                0.50549,                0.42963,                0.83308,                0.00505,                0.00505,                0.00505
                    153,                0.49973,                0.36746,                0.84048,                0.89477,                0.88873,                0.93103,                0.83319,                0.50682,                0.42554,                0.83343,               0.005017,               0.005017,               0.005017
