                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    100,                0.68514,                0.61731,                0.91036,                0.87224,                0.85577,                0.90858,                0.78964,                0.57511,                 0.5277,                0.86457,               0.006766,               0.006766,               0.006766
                    101,                0.68053,                 0.6182,                0.90671,                0.85373,                 0.8671,                0.91355,                0.79062,                0.57014,                0.52437,                 0.8644,               0.006733,               0.006733,               0.006733
                    102,                0.67821,                0.60699,                0.90446,                0.89144,                 0.8497,                0.90989,                0.79004,                0.57274,                0.53256,                0.86603,                 0.0067,                 0.0067,                 0.0067
                    103,                0.67631,                  0.609,                0.90659,                0.87115,                0.85771,                0.90763,                0.78526,                0.57751,                0.52129,                0.86411,               0.006667,               0.006667,               0.006667
                    104,                0.67664,                 0.6114,                0.90826,                0.88131,                0.84636,                0.91082,                0.79098,                0.57201,                0.52201,                0.86251,               0.006634,               0.006634,               0.006634
                    105,                0.67009,                0.60122,                0.90461,                0.86545,                0.84984,                0.90772,                0.79004,                0.57444,                0.52978,                0.86429,               0.006601,               0.006601,               0.006601
                    106,                0.67501,                0.60567,                0.90722,                0.85495,                0.87124,                0.90795,                0.78555,                0.57035,                0.51914,                0.86391,               0.006568,               0.006568,               0.006568
                    107,                0.67306,                0.59818,                0.90286,                0.87442,                0.86317,                0.90835,                0.79085,                0.57117,                0.51773,                0.86517,               0.006535,               0.006535,               0.006535
                    108,                0.67305,                0.60238,                 0.9045,                0.88101,                0.84497,                0.89941,                0.78083,                0.56858,                0.52126,                0.86306,               0.006502,               0.006502,               0.006502
                    109,                0.66982,                 0.5969,                0.90266,                 0.8655,                0.86152,                0.90619,                0.78679,                0.57022,                0.51802,                0.86379,               0.006469,               0.006469,               0.006469
                    110,                0.66227,                0.59384,                0.89932,                0.89407,                0.86022,                0.90988,                0.79108,                0.57306,                0.51363,                0.86008,               0.006436,               0.006436,               0.006436
                    111,                0.66969,                0.60091,                0.90392,                0.87836,                0.85796,                0.91009,                0.79182,                0.56672,                0.51383,                0.86114,               0.006403,               0.006403,               0.006403
                    112,                0.66774,                0.59766,                0.90071,                0.89384,                0.84586,                0.90894,                0.78752,                 0.5705,                0.51684,                0.86029,                0.00637,                0.00637,                0.00637
                    113,                0.65657,                0.59093,                 0.8984,                0.89392,                0.84399,                0.91255,                0.79555,                0.56445,                0.50386,                0.86051,               0.006337,               0.006337,               0.006337
                    114,                0.66024,                0.59376,                0.90198,                 0.8598,                0.86495,                0.90912,                0.79163,                0.56725,                0.51734,                0.85986,               0.006304,               0.006304,               0.006304
                    115,                0.66542,                0.59055,                0.90167,                0.89182,                0.84749,                0.91038,                0.79688,                0.56775,                0.51926,                0.86102,               0.006271,               0.006271,               0.006271
